lv,price,production_n
1,22600,58
2,23278,70
3,23976,84
4,24695,101
5,25436,121
6,26199,139
7,26985,160
8,27795,184
9,28629,212
10,29488,244
11,30373,281
12,31284,323
13,32223,371
14,33190,427
15,34186,491
16,35212,565
17,36268,650
18,37356,748
19,38477,860
20,39631,989
21,40424,1058
22,41232,1132
23,42057,1211
24,42898,1296
25,43756,1387
26,44631,1415
27,45524,1443
28,46434,1472
29,47363,1501
30,48310,1531
31,49276,1562
32,50262,1593
33,51267,1625
34,52292,1658
35,53338,1691
36,54405,1725
37,55493,1760
38,56603,1795
39,57735,1831
40,58890,1868
41,60068,1905
42,61269,1943
43,62494,1982
44,63744,2022
45,65019,2062
46,66319,2103
47,67645,2145
48,68998,2188
49,70378,2232
50,71786,2277
51,72145,2300
52,72506,2323
53,72869,2346
54,73233,2369
55,73599,2393
56,73967,2417
57,74337,2441
58,74709,2465
59,75083,2490
60,75458,2515
61,75835,2540
62,76214,2565
63,76595,2591
64,76978,2617
65,77363,2643
66,77750,2669
67,78139,2696
68,78530,2723
69,78923,2750
70,79318,2778
71,79715,2806
72,80114,2834
73,80515,2862
74,80918,2891
75,81323,2920
76,81730,2949
77,82139,2978
78,82550,3008
79,82963,3038
80,83378,3068
81,83795,3099
82,84214,3130
83,84635,3161
84,85058,3193
85,85483,3225
86,85910,3257
87,86340,3290
88,86772,3323
89,87206,3356
90,87642,3390
91,88080,3424
92,88520,3458
93,88963,3493
94,89408,3528
95,89855,3563
96,90304,3599
97,90756,3635
98,91210,3671
99,91666,3708
100,92124,3745
101,92492,3764
102,92862,3783
103,93233,3802
104,93606,3821
105,93980,3840
106,94356,3859
107,94733,3878
108,95112,3897
109,95492,3916
110,95874,3936
111,96257,3956
112,96642,3976
113,97029,3996
114,97417,4016
115,97807,4036
116,98198,4056
117,98591,4076
118,98985,4096
119,99381,4116
120,99779,4137
121,100178,4158
122,100579,4179
123,100981,4200
124,101385,4221
125,101791,4242
126,102198,4263
127,102607,4284
128,103017,4305
129,103429,4327
130,103843,4349
131,104258,4371
132,104675,4393
133,105094,4415
134,105514,4437
135,105936,4459
136,106360,4481
137,106785,4503
138,107212,4526
139,107641,4549
140,108072,4572
141,108504,4595
142,108938,4618
143,109374,4641
144,109811,4664
145,110250,4687
146,110691,4710
147,111134,4734
148,111579,4758
149,112025,4782
150,112473,4806
151,112923,4830
152,113375,4854
153,113829,4878
154,114284,4902
155,114741,4927
156,115200,4952
157,115661,4977
158,116124,5002
159,116588,5027
160,117054,5052
161,117522,5077
162,117992,5102
163,118464,5128
164,118938,5154
165,119414,5180
166,119892,5206
167,120372,5232
168,120853,5258
169,121336,5284
170,121821,5310
171,122308,5337
172,122797,5364
173,123288,5391
174,123781,5418
175,124276,5445
176,124773,5472
177,125272,5499
178,125773,5526
179,126276,5554
180,126781,5582
181,127288,5610
182,127797,5638
183,128308,5666
184,128821,5694
185,129336,5722
186,129853,5751
187,130372,5780
188,130893,5809
189,131417,5838
190,131943,5867
191,132471,5896
192,133001,5925
193,133533,5955
194,134067,5985
195,134603,6015
196,135141,6045
197,135682,6075
198,136225,6105
199,136770,6136
200,137317,6167
201,137866,6179
202,138417,6191
203,138971,6203
204,139527,6215
205,140085,6227
206,140645,6239
207,141208,6251
208,141773,6264
209,142340,6277
210,142909,6290
211,143481,6303
212,144055,6316
213,144631,6329
214,145210,6342
215,145791,6355
216,146374,6368
217,146959,6381
218,147547,6394
219,148137,6407
220,148730,6420
221,149325,6433
222,149922,6446
223,150522,6459
224,151124,6472
225,151728,6485
226,152335,6498
227,152944,6511
228,153556,6524
229,154170,6537
230,154787,6550
231,155406,6563
232,156028,6576
233,156652,6589
234,157279,6602
235,157908,6615
236,158540,6628
237,159174,6641
238,159811,6654
239,160450,6667
240,161092,6680
241,161736,6693
242,162383,6706
243,163033,6719
244,163685,6732
245,164340,6745
246,164997,6758
247,165657,6772
248,166320,6786
249,166985,6800
250,167653,6814
251,168324,6828
252,168997,6842
253,169673,6856
254,170352,6870
255,171033,6884
256,171717,6898
