lv,price,production_p
1,20,1
2,24,2
3,29,3
4,35,4
5,42,5
6,50,6
7,60,7
8,72,8
9,86,9
10,103,10
11,124,11
12,149,12
13,179,13
14,215,14
15,258,15
16,310,16
17,372,17
18,446,18
19,535,19
20,572,20
21,612,21
22,655,22
23,701,23
24,750,24
25,803,25
26,859,26
27,919,27
28,983,28
29,1052,29
30,1126,30
31,1205,31
32,1289,32
33,1379,33
34,1476,34
35,1579,35
36,1690,36
37,1808,37
38,1935,38
39,2070,39
40,2215,40
41,2370,41
42,2536,42
43,2714,43
44,2904,44
45,3107,45
46,3324,46
47,3557,47
48,3806,48
49,4072,49
50,4194,50
51,4320,51
52,4450,52
53,4584,53
54,4722,54
55,4864,55
56,5010,56
57,5160,57
58,5315,58
59,5474,59
60,5638,60
61,5807,61
62,5981,62
63,6160,63
64,6345,64
65,6535,65
66,6731,66
67,6933,67
68,7141,68
69,7355,69
70,7576,70
71,7803,71
72,8037,72
73,8278,73
74,8526,74
75,8782,75
76,9045,76
77,9316,77
78,9595,78
79,9883,79
80,10179,80
81,10484,81
82,10799,82
83,11123,83
84,11457,84
85,11801,85
86,12155,86
87,12520,87
88,12896,88
89,13283,89
90,13681,90
91,14091,91
92,14514,92
93,14949,93
94,15397,94
95,15859,95
96,16335,96
97,16825,97
98,17330,98
99,17850,99
100,18029,100
101,18209,101
102,18391,102
103,18575,103
104,18761,104
105,18949,105
106,19138,106
107,19329,107
108,19522,108
109,19717,109
110,19914,110
111,20113,111
112,20314,112
113,20517,113
114,20722,114
115,20929,115
116,21138,116
117,21349,117
118,21562,118
119,21778,119
120,21996,120
121,22216,121
122,22438,122
123,22662,123
124,22889,124
125,23118,125
126,23349,126
127,23582,127
128,23818,128
129,24056,129
130,24297,130
131,24540,131
132,24785,132
133,25033,133
134,25283,134
135,25536,135
136,25791,136
137,26049,137
138,26309,138
139,26572,139
140,26838,140
141,27106,141
142,27377,142
143,27651,143
144,27928,144
145,28207,145
146,28489,146
147,28774,147
148,29062,148
149,29353,149
150,29647,150
151,29943,151
152,30242,152
153,30544,153
154,30849,154
155,31157,155
156,31469,156
157,31784,157
158,32102,158
159,32423,159
160,32747,160
161,33074,161
162,33405,162
163,33739,163
164,34076,164
165,34417,165
166,34761,166
167,35109,167
168,35460,168
169,35815,169
170,36173,170
171,36535,171
172,36900,172
173,37269,173
174,37642,174
175,38018,175
176,38398,176
177,38782,177
178,39170,178
179,39562,179
180,39958,180
181,40358,181
182,40762,182
183,41170,183
184,41582,184
185,41998,185
186,42418,186
187,42842,187
188,43270,188
189,43703,189
190,44140,190
191,44581,191
192,45027,192
193,45477,193
194,45932,194
195,46391,195
196,46855,196
197,47324,197
198,47797,198
199,48275,199
200,48516,200
201,48759,201
202,49003,202
203,49248,203
204,49494,204
205,49741,205
206,49990,206
207,50240,207
208,50491,208
209,50743,209
210,50997,210
211,51252,211
212,51508,212
213,51766,213
214,52025,214
215,52285,215
216,52546,216
217,52809,217
218,53073,218
219,53338,219
220,53605,220
221,53873,221
222,54142,222
223,54413,223
224,54685,224
225,54958,225
226,55233,226
227,55509,227
228,55787,228
229,56066,229
230,56346,230
231,56628,231
232,56911,232
233,57196,233
